jurisdiction,region
ALAMANCE,4
ALEXANDER,5
ALLEGHANY,5
ANSON,4
ASHE,5
AVERY,5
BEAUFORT,1
BERTIE,1
BLADEN,1
BRUNSWICK,1
BUNCOMBE,5
BURKE,5
CABARRUS,3
CALDWELL,5
CAMDEN,1
CARTERET,1
CASWELL,4
CATAWBA,5
CHATHAM,2
CHEROKEE,5
CHOWAN,1
CLAY,5
CLEVELAND,5
COLUMBUS,1
CRAVEN,1
CUMBERLAND,1
CURRITUCK,1
DARE,1
DAVIDSON,4
DAVIE,4
DUPLIN,1
DURHAM,2
EDGECOMBE,1
FORSYTH,4
FRANKLIN,2
GASTON,3
GATES,1
GRAHAM,5
GRANVILLE,2
GREENE,1
GUILFORD,4
HALIFAX,1
HARNETT,1
HAYWOOD,5
HENDERSON,5
HERTFORD,1
HOKE,4
HYDE,1
IREDELL,5
JACKSON,5
JOHNSTON,2
JONES,1
LEE,4
LENOIR,1
LINCOLN,3
MACON,5
MADISON,5
MARTIN,1
MCDOWELL,5
MECKLENBURG,3
MITCHELL,5
MONTGOMERY,4
MOORE,4
NASH,1
NEW HANOVER,1
NORTHAMPTON,1
ONSLOW,1
ORANGE,2
PAMLICO,1
PASQUOTANK,1
PENDER,1
PERQUIMANS,1
PERSON,2
PITT,1
POLK,5
RANDOLPH,4
RICHMOND,4
ROBESON,1
ROCKINGHAM,4
ROWAN,4
RUTHERFORD,5
SAMPSON,1
SCOTLAND,4
STANLY,4
STOKES,4
SURRY,5
SWAIN,5
TRANSYLVANIA,5
TYRRELL,1
UNION,3
VANCE,2
WAKE,2
WARREN,2
WASHINGTON,1
WATAUGA,5
WAYNE,1
WILKES,5
WILSON,1
YADKIN,5
YANCEY,5