office,jCde,candidate_party,candidate_name,state,ofc,election,eType,candidate_lastname,cId
Governor,0,Democrat,Chrelle Booker,North Carolina,G,Dem Primary,D,Booker,20074665
Governor,0,Democrat,Gary Foxx,North Carolina,G,Dem Primary,D,Foxx,20077525
Governor,0,Democrat,Josh Stein,North Carolina,G,Dem Primary,D,Stein,20076936
Governor,0,Republican,Bill Graham,North Carolina,G,Rep Primary,R,Graham,20077312
Governor,0,Republican,Mark Robinson,North Carolina,G,Rep Primary,R,Robinson,20076937
President,0,Democrat,No Preference,North Carolina,P,Dem Primary,D,No Preference,100005
President,0,Republican,Asa Hutchinson,North Carolina,P,Rep Primary,R,Hutchinson,5956
President,0,Republican,Chris Christie,North Carolina,P,Rep Primary,R,Christie,60051
President,0,Republican,Nikki Haley,North Carolina,P,Rep Primary,R,Haley,60420
President,0,Republican,No Preference,North Carolina,P,Rep Primary,R,No Preference,20077667
President,0,Republican,Ron DeSantis,North Carolina,P,Rep Primary,R,DeSantis,62557
President,0,Republican,Ryan Binkley,North Carolina,P,Rep Primary,R,Binkley,20077062
President,0,Republican,Vivek Ramaswamy,North Carolina,P,Rep Primary,R,Ramaswamy,20077010
Governor,0,Democrat,Marcus W. Williams,North Carolina,G,Dem Primary,D,Williams,20074669
Governor,0,Democrat,Michael R. (Mike) Morgan,North Carolina,G,Dem Primary,D,Morgan,20077310
Governor,0,Republican,Dale R. Folwell,North Carolina,G,Rep Primary,R,Folwell,20077311
President,0,Democrat,"Joseph R. Biden, Jr.",North Carolina,P,Dem Primary,D,Biden,1036
President,0,Republican,Donald J. Trump,North Carolina,P,Rep Primary,R,Trump,8639
President,0,Democrat,No Preference,Georgia,P,Dem Primary,D,No Preference,100005
President,0,Republican,Asa Hutchinson,Georgia,P,Rep Primary,R,Hutchinson,5956
President,0,Republican,Chris Christie,Georgia,P,Rep Primary,R,Christie,60051
President,0,Republican,Nikki Haley,Georgia,P,Rep Primary,R,Haley,60420
President,0,Republican,No Preference,Georgia,P,Rep Primary,R,No Preference,20077667
President,0,Republican,Ron DeSantis,Georgia,P,Rep Primary,R,DeSantis,62557
President,0,Republican,Ryan L. Binkley,Georgia,P,Rep Primary,R,Binkley,20077062
President,0,Republican,Vivek Ramaswamy,Georgia,P,Rep Primary,R,Ramaswamy,20077010
President,0,Democrat,"Joseph R. Biden, Jr.",Georgia,P,Dem Primary,D,Biden,1036
President,0,Republican,Donald J. Trump,Georgia,P,Rep Primary,R,Trump,8639