state,county,type,path,election_date,cbs_lookup,cbs_s3_path,google_drive_folder,modeling
NC,ALL,primary,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_03_05/results_pct_20240305.zip,,,,,
GA,ALL,primary,120015,,,,,
AZ,MARICOPA,primary,,,,,,
WI,MILWAUKEE,primary,https://county.milwaukee.gov/EN/County-Clerk/Off-Nav/Election-Results/4-2-24SpringPresidentialPreferenceUnofficialResults,,,,,
PA,ALLEGHENY,primary,120751,,,,,
PA,PHILADELPHIA,primary,https://philadelphiaresults.azurewebsites.us/ResultsExport.aspx?,,,,,
TX,EL PASO,primary,120338,,,,,
TX,BEXAR,primary,,,,,,
TX,HIDALGO,primary,120182,,,,,
FL,ALACHUA,primary,https://enr.electionsfl.org/ALA/3500/Reports,,,,,
FL,BAKER,primary,https://enr.electionsfl.org/BAK/3565/Reports,,,,,
FL,BAY,primary,https://enr.electionsfl.org/BAY/3507/Reports,,,,,
FL,BRADFORD,primary,https://enr.electionsfl.org/BRA/3545/Reports,,,,,
FL,BREVARD,primary,http://enr.electionsfl.org/BRE/3537/Reports,,,,,
FL,BROWARD,primary,http://enr.electionsfl.org/BRO/3578/Reports,,,,,
FL,CHARLOTTE,primary,https://enr.electionsfl.org/CHA/3567/Reports,,,,,
FL,CITRUS,primary,https://enr.electionsfl.org/CIT/3532/Reports,,,,,
FL,COLLIER,primary,https://enr.electionsfl.org/CLL/3484/Reports,,,,,
FL,COLUMBIA,primary,https://enr.electionsfl.org/CLM/3493/Reports,,,,,
FL,DIXIE,primary,https://enr.electionsfl.org/DIX/3488/Reports,,,,,
FL,ESCAMBIA,primary,http://enr.electionsfl.org/ESC/3547/Reports,,,,,
FL,GADSDEN,primary,https://enr.electionsfl.org/GAD/3566/Reports,,,,,
FL,GILCHRIST,primary,https://enr.electionsfl.org/GIL/3573/Reports,,,,,
FL,GLADES,primary,https://enr.electionsfl.org/GLA/3489/Reports,,,,,
FL,HERNANDO,primary,https://enr.electionsfl.org/HER/3562/Reports,,,,,
FL,HILLSBOROUGH,primary,https://enr.electionsfl.org/HIL/3508/Reports,,,,,
FL,INDIAN RIVER,primary,https://enr.electionsfl.org/IND/3544/Reports,,,,,
FL,LAFAYETTE,primary,https://enr.electionsfl.org/LAF/3552/Reports,,,,,
FL,LAKE,primary,https://enr.electionsfl.org/LAK/3520/Reports,,,,,
FL,LEE,primary,https://enr.electionsfl.org/LEE/3556/Reports,,,,,
FL,LEVY,primary,https://enr.electionsfl.org/LEV/3530/Reports,,,,,
FL,MADISON,primary,https://enr.electionsfl.org/MAD/3563/Reports,,,,,
FL,MANATEE,primary,https://enr.electionsfl.org/MAN/3569/Reports,,,,,
FL,MARION,primary,https://enr.electionsfl.org/MRN/3527/Reports,,,,,
FL,MARTIN,primary,120187,,,,,
FL,MIAMI-DADE,primary,https://enr.electionsfl.org/DAD/3525/Reports,,,,,
FL,MONROE,primary,https://enr.electionsfl.org/MON/3519/Reports,,,,,
FL,NASSAU,primary,https://enr.electionsfl.org/NAS/3511/Reports,,,,,
FL,OKEECHOBEE,primary,https://enr.electionsfl.org/OKE/3504/Reports,,,,,
FL,ORANGE,primary,https://enr.electionsfl.org/ORA/3549/Reports,,,,,
FL,PALM BEACH,primary,https://enr.electionsfl.org/PAL/3526/Reports,,,,,
FL,PINELLAS,primary,120014,,,,,
FL,PUTNAM,primary,https://enr.electionsfl.org/PUT/3524/Reports,,,,,
FL,SARASOTA,primary,https://enr.electionsfl.org/SAR/3555/Reports,,,,,
FL,ST JOHNS,primary,https://enr.electionsfl.org/STJ/3540/Reports,,,,,
FL,VOLUSIA,primary,https://enr.electionsfl.org/VOL/3536/Reports,,,,,
FL,WAKULLA,primary,http://enr.electionsfl.org/WAK/3557/Reports,,,,,
FL,WALTON,primary,http://enr.electionsfl.org/WAL/3529/Reports,,,,,
AZ,MARICOPA,state_primary,https://elections.maricopa.gov/results-and-data/election-results.html,20240730,2024-07-30 Primary Candidates.csv,Precincts/20240730-AZ-P,https://drive.google.com/drive/folders/1hJO_flEZApHNLlpb79xmSl_Y3VAvYrEf,TRUE
AZ,PINAL,state_primary,,20240730,2024-07-30 Primary Candidates.csv,Precincts/20240730-AZ-P,https://drive.google.com/drive/folders/1hJO_flEZApHNLlpb79xmSl_Y3VAvYrEf,FALSE
AZ,PIMA,state_primary,,20240730,2024-07-30 Primary Candidates.csv,Precincts/20240730-AZ-P,https://drive.google.com/drive/folders/1hJO_flEZApHNLlpb79xmSl_Y3VAvYrEf,FALSE